t                            N(t)               C(t)

For case 1

9.5               1.28208365772186e-08               25.46503069193588
9.6               1.645213930525939e-08               24.71242525126125
9.7               2.1258340056582645e-08               23.982062702455043
9.8               2.7677898673084903e-08               23.27328564637528
9.9               3.62914826982403e-08               22.585456122151953
10.0               4.787203920691122e-08               21.917955036470726



For case 4

0.0               100.0               6.0
0.1               130.7907965596104               63.292486069073775
0.2               28.904629390380645               345.95329141097653
0.3               1.0110485618292786               394.95133703185354
0.4               0.03415196968287801               381.63907624570993
0.5               0.0013353628636813704               366.74825422025685
0.6               6.045020565339918e-05               352.3707222689713
0.7               3.1503060585532395e-06               338.55419863304434
0.8               1.8899302274614302e-07               325.2793054199989
0.9               1.258128296066347e-08               312.52492207825236
1.0               9.266637169852579e-10               300.2706449076534
1.1               -1.8155026543331655e-10               288.49686552191594
1.2               3.411116223796315e-09               277.1847393093962
1.3               2.0987781058681406e-08               266.3161697988039
1.4               3.297720142570094e-09               255.87376311673177
1.5               9.762745020194314e-10               245.84080939525117
1.6               5.859559081498947e-11               236.20125382365447
1.7               4.6776616225901186e-12               226.93967077074782
1.8               -8.625713483121169e-11               218.04124011835123
1.9               4.324954861929832e-10               209.49171743039363
2.0               1.9495922724031463e-09               201.27742914160197
2.1               1.4650333678273536e-09               193.38522772777014
2.2               -1.8920923689129948e-09               185.80248397794762
2.3               -1.5637851707627091e-09               178.51706370804146
2.4               8.19455938482323e-09               171.51730954614914
2.5               3.477931891863694e-09               164.79202118721827
2.6               -6.875317190930827e-10               158.33043356276244
2.7               -5.879043224401993e-10               152.1222084631113
2.8               2.820688385674841e-10               146.1574113413827
2.9               1.237641784540855e-10               140.42649744654707
3.0               1.2535237835073402e-11               134.92029714820896
3.1               8.933295520399412e-12               129.62999754274566
3.2               -7.0478279632337596e-12               124.547131425154
3.3               1.6387841152961463e-12               119.6635682277948
3.4               -6.823603439324215e-14               114.97149250598532
3.5               -6.311323027668817e-13               110.46339557019739
3.6               8.264782612701601e-12               106.1320631006515
3.7               1.958110416454714e-11               101.97056598792012
3.8               1.2754994995564282e-11               97.97224356282385
3.9               -1.1065206491391477e-11               94.13069711771476
4.0               -1.7289170356848526e-11               90.43977973595534
4.1               -6.6332991283086945e-12               86.89358531506008
4.2               8.408546558073321e-12               83.48643918070466
4.3               3.42140884618515e-12               80.21288912045623
4.4               -7.852013386112185e-12               77.06769681823158
4.5               -1.1206335956707511e-11               74.04582945429914
4.6               -9.793949798771622e-12               71.14245149349817
4.7               7.29987048644777e-12               68.35291614094561
4.8               2.441672191553295e-11               65.67275952180285
4.9               2.9997586551169347e-11               63.09769328684238
5.0               1.8832024764554788e-11               60.62359723336668
5.1               -1.125402820253924e-11               58.24651170272622
5.2               -1.9620293484260773e-11               55.962633221623484
5.3               -9.59224021213346e-12               53.76830697353624
5.4               1.4262892305201136e-12               51.660021460135994
5.5               4.151765056390383e-13               49.63440303546034
5.6               -4.766757440564042e-12               47.688210191968146
5.7               -7.735523066015457e-12               45.81832868978947
5.8               -7.436563253286906e-12               44.02176630568342
5.9               -6.3464557407936e-12               42.295648121949014
6.0               -6.014702532871328e-12               40.63721202847508
6.1               -5.9529201244768795e-12               39.04380411573671
6.2               -6.683613463716029e-12               37.51287462974287
6.3               -8.520835279934005e-12               36.04197373365675
6.4               -1.117465869745219e-11               34.62874762523531
6.5               -1.3782735917965359e-11               33.270934957824956
6.6               -1.6225412456354044e-11               31.966362910495565
6.7               -1.8889545470883887e-11               30.71294382660807
6.8               -2.220987062716718e-11               29.508672048718314
6.9               -2.6558784859936886e-11               28.35162043483027
7.0               -3.2579168774637845e-11               27.239937427136667
7.1               -4.133538284397713e-11               26.17184418156638
7.2               -5.3615429885386155e-11               25.145631459302077
7.3               -7.018302408948871e-11               24.159657086704932
7.4               -9.186492229260315e-11               23.212343368235246
7.5               -1.207693537960814e-10               22.302174334025768
7.6               -1.5963807021472736e-10               21.427693518860025
7.7               -2.123263116516248e-10               20.587501628143784
